FirstName,LastName,BuildingNumber,StreetName,StreetType,City,Postcode,State,Ethnicity,AccountAge,MonthlyCharges,TotalCharges,SubscriptionType,PaymentMethod,PaperlessBilling,ContentType,MultiDeviceAccess,DeviceRegistered,ViewingHoursPerWeek,AverageViewingDuration,ContentDownloadsPerMonth,GenrePreference,UserRating,SupportTicketsPerMonth,Gender,WatchlistSize,ParentalControl,SubtitlesEnabled,CustomerID,Churn,Cohort
Erika,Williams,5143,Sanchez Mountain,Inlet,South Renee,22837.0,SD,black,118,11.476887606125665,1354.2727375228285,Premium,Credit card,No,Movies,No,Mobile,2.5175434470699445,96.88667154560092,43,Sci-Fi,2.455369545283257,6,Male,15,No,Yes,WA0OMI1BSD,0,1-1-22837.0
Kim,Long,24429,Joshua Loaf,Expressway,Jessetown,41712.0,NH,white,95,7.73596789862065,734.9169503689618,Standard,Electronic check,No,Movies,No,Mobile,10.124861128513023,89.71543865739226,49,Drama,4.68222516094106,9,Female,17,Yes,Yes,PQEK3ZRD14,0,0-3-41712.0
Lee,Winter,53004,Curtis Tunnel,Isle,Matthewmouth,55827.0,AS,white,80,12.773555172004112,1021.8844137603288,Basic,Bank transfer,Yes,Both,No,Tablet,8.369758936028234,85.3044792772531,20,Drama,1.8686019699276424,2,Male,4,No,No,MZ7PMZCSQL,0,1-3-55827.0
Imelda,Tarantino-Aloisio,6730,Matthew River,Shore,North Staciechester,70116.0,MA,white,111,7.276688895766991,807.712467430136,Basic,Mailed check,No,TV Shows,Yes,Tablet,20.341934617753267,135.9022805918368,39,Sci-Fi,3.458867803011831,6,Female,12,Yes,Yes,WCSKRZ1N4H,0,0-3-70116.0
Samantha,Wells,138,Barbara Islands,Alley,Alejandraland,6247.0,VA,white,80,13.578296009699564,1086.263680775965,Basic,Electronic check,No,Both,No,Tablet,32.27495479479211,163.2260033804051,19,Fantasy,2.393086362132685,6,Male,19,Yes,No,ECVYE0COK9,0,1-3-6247.0
Jacob,Davis,21357,Lisa Springs,Lodge,Benjaminshire,17266.0,OK,white,98,11.1260316496707,1090.3511016677287,Basic,Electronic check,No,Movies,Yes,Computer,31.43060418175015,27.59415990645698,28,Drama,4.391725567030798,4,Male,4,No,No,FUEK11I5YG,0,1-3-17266.0
Ashley,Simpson,733,Cook Valleys,Road,Nathanfort,63543.0,CO,white,114,8.907132755569279,1015.4131341348976,Standard,Credit card,Yes,TV Shows,No,TV,9.15272603371595,125.66210661074352,14,Fantasy,4.114389193622301,8,Female,19,No,Yes,0UFKKDIUQX,0,0-3-63543.0
Kimberly,Tubridy,424,Arnold Glens,Lock,East Stephanie,56898.0,AS,white,108,19.9016662381627,2149.379953721572,Standard,Mailed check,No,Movies,No,Tablet,4.018323480475084,179.84677395888087,3,Action,3.132315219827797,9,Male,15,No,No,5XAF1HLTML,0,1-3-56898.0
Dakota,Fuentes,8492,Alexander Coves,Causeway,APO AP 19476,,,hispanic,101,17.083711529293865,1725.4548644586805,Premium,Credit card,Yes,TV Shows,No,Mobile,30.399543427052,68.33377272304455,2,Drama,2.0221389874896367,7,Male,15,Yes,Yes,5Q7YSPXYY0,0,1-2-nan
Keith,Young,2641,Ethan Groves,Pass,West Joseph,44138.0,FM,white,34,17.267370747713386,587.0906054222551,Basic,Bank transfer,Yes,Both,No,Computer,16.584546493474143,11.503881722127597,30,Fantasy,2.2428398645102754,4,Female,18,No,Yes,IQ28XGG8EK,1,0-3-44138.0
Marie,Bush,80020,Perkins Rapid,Isle,Evansville,84725.0,IN,white,80,16.381205238584258,1310.4964190867406,Standard,Electronic check,No,TV Shows,No,Computer,18.99029723247804,93.85439641581264,11,Drama,2.308388687240886,1,Female,17,No,No,1PBV00ZGRL,0,0-3-84725.0
Dillon,Ortiz,980,Jones Meadow,Fords,North Edwardtown,29195.0,IL,hispanic,111,17.488563308755463,1941.2305272718563,Basic,Electronic check,No,Movies,No,Mobile,8.134508596923252,153.52494933838864,9,Drama,1.0056257786964733,6,Male,6,No,No,3MYS4TL0C8,0,1-2-29195.0
Lacey,Newton,4685,Manning Field,Radial,Lake Josephton,46518.0,MA,white,19,14.664657567442072,278.62849378139936,Basic,Mailed check,Yes,Movies,No,Mobile,32.01941514724348,107.72002022192017,39,Sci-Fi,3.146264353660166,3,Female,21,No,No,UFGDKEZW98,0,0-3-46518.0
Kevin,Morgan,690,Shirley Brook,Common,New Mark,51222.0,PA,white,16,7.011762041269314,112.18819266030904,Standard,Bank transfer,No,TV Shows,Yes,Tablet,17.71338010117349,168.3125147681165,14,Drama,3.498380405019016,5,Male,16,Yes,No,6LNR484ZJ1,0,1-3-51222.0
Angela,Larsen,6705,Crawford Via,Gardens,Rodneyshire,78620.0,DE,white,112,5.378075434607974,602.3444486760932,Standard,Electronic check,Yes,Movies,Yes,Mobile,9.765849983925088,21.36798645817986,46,Comedy,4.838353989723785,1,Male,20,No,Yes,K18K3LNL9D,0,1-3-78620.0
Richard,Leonard,27270,Andrews Heights,Street,Michaelville,88300.0,SC,white,22,12.723319351944417,279.9130257427771,Standard,Bank transfer,Yes,Both,No,TV,29.309975562359742,92.63678271720764,29,Drama,4.100320571524628,2,Male,24,Yes,Yes,VE7CPQEMFO,0,1-3-88300.0
Rebecca,Graham,25443,Daniel Brooks,Turnpike,West Lydia,78157.0,TX,white,64,11.745216240479994,751.6938393907196,Standard,Mailed check,No,Both,Yes,Computer,19.31051634753612,76.43148941483817,36,Drama,3.544726681474625,5,Male,24,No,Yes,J2BO2981TS,0,1-3-78157.0
Chelsea,Campos,42490,Jones Garden,Fall,Saunderschester,39608.0,OR,hispanic,85,10.76976899836754,915.4303648612408,Basic,Mailed check,No,Movies,Yes,Mobile,23.434583008966094,127.672588957608,44,Action,3.0684036040666447,0,Female,21,No,Yes,GSTCZM3X5K,0,0-2-39608.0
Kimberly,Moreno,9133,Alexander Locks,Turnpike,Port Crystaltown,3370.0,FL,hispanic,100,9.847704443427098,984.7704443427098,Basic,Electronic check,Yes,TV Shows,No,Mobile,19.764343659248308,176.07972878886645,9,Fantasy,4.817204033891146,8,Female,17,No,No,978NLKM09X,0,0-2-3370.0
Evan,Walker,20223,Amber Vista,Club,East Dawn,21432.0,CA,white,118,5.575725680981098,657.9356303557696,Standard,Electronic check,No,Movies,Yes,Mobile,26.18774975530026,115.36053364737488,4,Fantasy,4.485951564684845,8,Female,24,Yes,Yes,D17NNFFZ8R,0,0-3-21432.0
Gloria,Napolitano,463,Julie Dam,Viaduct,South Gailfurt,756.0,RI,white,8,14.400149442217051,115.2011955377364,Standard,Electronic check,No,Both,Yes,Mobile,17.7836260113347,146.08086631476482,43,Drama,1.6550793976175688,5,Male,11,No,No,4H7R0AX8HV,0,1-3-756.0
Grainne,Lennane,5042,Jenkins Crossing,Ford,Jeffshire,35551.0,OH,white,9,15.592387478674883,140.33148730807395,Premium,Bank transfer,No,Movies,No,TV,13.710512722383852,162.9863357808765,5,Fantasy,4.955212160519904,5,Male,20,Yes,No,PV9YNCARSZ,1,1-3-35551.0
Breanna,Gonzalez,28965,Timothy Shores,Turnpike,Port Josephstad,74718.0,CT,hispanic,66,13.902304005232814,917.5520643453656,Premium,Bank transfer,No,TV Shows,Yes,Tablet,13.153851676881908,12.099866239829616,48,Sci-Fi,4.446429755711062,8,Male,22,No,No,NZIDAIKCVZ,0,1-2-74718.0
Dr.,Justin,52386,Baker Curve,Radial,Littleview,70239.0,PA,white,52,16.30013737882782,847.6071436990467,Standard,Electronic check,Yes,Movies,Yes,Tablet,26.57823818383949,161.1924100710912,5,Drama,3.8364609121709248,3,Female,21,No,Yes,XIBDF0KC2W,0,0-3-70239.0
Brianna,Salas,87601,Schroeder Shore,Causeway,Watersville,68219.0,AS,hispanic,42,6.482070677830302,272.2469684688727,Premium,Bank transfer,No,TV Shows,Yes,Computer,25.83426568419358,119.99911515637751,30,Action,3.807038619477794,8,Female,10,No,No,5P9ERYHKYM,0,0-2-68219.0
Russell,Adams,62369,Susan Cliff,Views,West Katherine,77351.0,AZ,white,53,15.08138392757198,799.3133481613149,Basic,Bank transfer,No,Both,Yes,Mobile,36.65501197392352,16.21561042184379,43,Sci-Fi,3.94529496331682,6,Male,7,Yes,No,NKEEY6H19B,1,1-3-77351.0
