FirstName,LastName,BuildingNumber,StreetName,StreetType,City,Postcode,State,Ethnicity,AccountAge,MonthlyCharges,TotalCharges,SubscriptionType,PaymentMethod,PaperlessBilling,ContentType,MultiDeviceAccess,DeviceRegistered,ViewingHoursPerWeek,AverageViewingDuration,ContentDownloadsPerMonth,GenrePreference,UserRating,SupportTicketsPerMonth,Gender,WatchlistSize,ParentalControl,SubtitlesEnabled,CustomerID,Churn,Cohort
Jesse,Mcintyre,223,Conrad Summit,Flat,East Darlene,29112.0,WY,white,107,10.41505183443555,1114.410546284604,Basic,Credit card,No,TV Shows,Yes,Tablet,31.38892288738122,78.76828702594916,10,Comedy,2.9017227334650006,7,Female,5,No,No,8LJ2E9ADDH,0,0-3-29112.0
Dr.,Todd,5249,Taylor Harbors,Islands,Lisaville,77540.0,ID,white,80,16.127295990203507,1290.1836792162806,Basic,Electronic check,No,Movies,No,Computer,25.75289208479249,43.41479647180147,6,Action,4.620688772718012,6,Male,15,No,Yes,U794G44B8D,1,1-3-77540.0
Pamela,Luna,2240,John Overpass,Oval,Jessicaside,87363.0,MS,hispanic,11,17.853121756268877,196.38433931895764,Basic,Mailed check,No,TV Shows,No,TV,12.833716938794108,79.18335494438365,12,Comedy,2.632729721768852,9,Female,16,No,Yes,2VAIR4ROVX,0,0-2-87363.0
Christopher,Day,966,Carla Isle,Keys,Wilsonborough,12497.0,NH,white,109,13.62362543391616,1484.9751722968613,Basic,Electronic check,No,TV Shows,No,TV,28.74510496004993,23.1364064948084,49,Action,3.2732304440426976,8,Female,1,Yes,Yes,F6L2M7MPQF,0,0-3-12497.0
Eamonn,Rea,340,Kim Summit,Stravenue,East Alexandriabury,57052.0,VT,white,52,5.199267909322579,270.3619312847741,Standard,Electronic check,Yes,Movies,No,Mobile,38.254887504162966,65.98683745289853,26,Fantasy,1.3651861361145063,7,Male,8,Yes,Yes,FATDM2TF32,0,1-3-57052.0
Jackson,Hobbs,22054,Jose Squares,Creek,Leebury,72775.0,UT,white,61,15.599346221079555,951.560119485853,Standard,Electronic check,No,TV Shows,No,Tablet,14.150333236636188,157.50045466864776,1,Action,1.1281991198521335,4,Female,17,Yes,No,CF89QK5WLU,1,0-3-72775.0
Evan,Lopez,5908,Amanda Port,Turnpike,Jamesshire,68770.0,VI,hispanic,112,10.875839872896025,1218.0940657643546,Premium,Mailed check,Yes,TV Shows,No,Tablet,36.03179288092668,121.30552556434009,33,Sci-Fi,4.564918155635185,8,Female,24,No,Yes,5CW12ZJ6WA,0,0-2-68770.0
Eimhear,Cooney,9976,Brown Village,Street,Lake Nicholashaven,73315.0,CA,white,16,16.62328351765899,265.97253628254384,Standard,Electronic check,No,Both,Yes,Computer,5.568380427511967,40.86278218297613,12,Action,1.6558670259050805,9,Male,3,No,No,YTUGBD5VDW,1,1-3-73315.0
Kristin,Wells,1949,Lindsey Square,Points,Boonebury,67305.0,TN,white,23,19.33706498239922,444.7524945951821,Standard,Credit card,No,Both,No,Tablet,7.02412937928919,178.34283974377598,14,Comedy,3.538915797799872,2,Male,0,Yes,No,MBPFKKTS7H,0,1-3-67305.0
Erika,Thompson,719,Veronica Passage,Hills,North Bryantown,2724.0,TN,white,14,9.857546180835612,138.00564653169857,Basic,Bank transfer,Yes,TV Shows,Yes,Computer,5.572602392564767,54.115710287189074,5,Drama,1.9308352134791704,7,Female,6,No,No,P9S69AK3Z0,0,0-3-2724.0
Shannon,Fritz,213,Adrian Fort,Hollow,New Shannonview,42413.0,ID,white,71,18.111577088934336,1285.921973314338,Standard,Electronic check,Yes,Movies,Yes,Tablet,5.619935314182546,101.69040708397854,30,Comedy,2.860912843960611,7,Male,22,Yes,No,EK36DX7DRZ,0,1-3-42413.0
David,Rivera,36396,Lane Grove,Island,FPO AP 04700,,,hispanic,78,14.5110228241332,1131.8597802823897,Basic,Mailed check,Yes,Movies,Yes,Mobile,26.616529203155345,32.16284921408176,21,Drama,1.5173921138157789,9,Female,8,No,Yes,27SMEFTA10,1,0-2-nan
Mr,Stewart,7426,Tapia Squares,Villages,New Andrew,39994.0,AS,white,29,6.253811712545408,181.36053966381684,Standard,Electronic check,Yes,TV Shows,No,Computer,20.10858301904439,179.76339077837943,0,Sci-Fi,3.3922977656467554,0,Male,9,Yes,Yes,0EX3M5JVTG,0,1-3-39994.0
Ricky,Bentley,727,Brandon Forks,Station,South Jessica,18236.0,IL,white,58,10.577384751691348,613.4883155980982,Premium,Credit card,Yes,Both,Yes,Mobile,3.8745693746288414,145.87075823388895,34,Fantasy,1.4480552043344632,9,Female,18,Yes,Yes,A43RTM2301,0,0-3-18236.0
Dr.,René,367,Matthew Fort,Run,South Riley,32679.0,MI,white,79,8.484531988204868,670.2780270681845,Premium,Mailed check,No,TV Shows,Yes,Mobile,11.955226359649789,130.1707370800564,16,Sci-Fi,3.100428850738827,9,Male,6,Yes,No,WI98XQ7L8A,1,1-3-32679.0
