FirstName,LastName,BuildingNumber,StreetName,StreetType,City,Postcode,State,Ethnicity,AccountAge,MonthlyCharges,TotalCharges,SubscriptionType,PaymentMethod,PaperlessBilling,ContentType,MultiDeviceAccess,DeviceRegistered,ViewingHoursPerWeek,AverageViewingDuration,ContentDownloadsPerMonth,GenrePreference,UserRating,SupportTicketsPerMonth,Gender,WatchlistSize,ParentalControl,SubtitlesEnabled,CustomerID,Churn,Cohort
Jasmine,Howell,190,Oneal Port,Landing,Lake Matthewview,44495.0,UT,white,4,13.768682212928873,55.07472885171549,Basic,Electronic check,Yes,Both,Yes,TV,23.80897099124393,55.43549006076261,33,Comedy,1.703936334962353,1,Female,10,Yes,No,A0H9DEUMSC,0,0-3-44495.0
Anna,Cook,57,Ryan Island,Drives,Melissaton,7533.0,GU,white,12,14.23909956111954,170.86919473343448,Basic,Credit card,No,Movies,No,TV,28.016469102111053,52.26260007265164,32,Comedy,2.7314312964582435,5,Female,10,No,Yes,2TYSL7W612,1,0-3-7533.0
Katrina,Chang,4639,Stephenson Mills,Shoals,APO AA 34814,,,asian,45,19.767677469611453,889.5454861325154,Basic,Bank transfer,Yes,Both,No,Mobile,11.259831583167006,157.63503138931023,0,Action,2.300513080799621,3,Female,22,Yes,No,LSHZP65UMV,0,0-0-nan
Mr.,Zachary,6838,John Station,Causeway,Port Tyler,21488.0,MN,white,102,10.428620321291028,1063.719272771685,Premium,Credit card,Yes,Both,Yes,Computer,18.399881136885764,127.31364308293549,48,Action,1.5469347164851932,9,Male,11,No,No,MJCN1QCTFO,0,1-3-21488.0
Heather,Young,12938,Melissa Tunnel,Circles,North Shaunview,6840.0,OK,white,15,7.610819182269418,114.16228773404126,Basic,Bank transfer,Yes,Movies,Yes,Tablet,2.739323711746834,170.65454674047598,28,Fantasy,1.896405343513252,9,Male,3,No,Yes,SX8GYAVL1F,0,1-3-6840.0
Jonathan,Anderson,75532,Davis Trafficway,Wall,New Michellestad,54625.0,OR,white,71,10.45807955224554,742.5236482094333,Premium,Mailed check,No,Both,Yes,Mobile,7.345147933945746,90.08084522348176,2,Sci-Fi,4.486561339863187,4,Male,15,Yes,No,SR9997KPX1,0,1-3-54625.0
Anthony,Mcbride,1881,Lopez Fords,Glens,Medinaland,64249.0,ND,white,107,6.375624151283782,682.1917841873646,Premium,Bank transfer,No,TV Shows,No,Tablet,2.6989084002742345,144.346909261849,10,Fantasy,1.8848138185284864,0,Male,14,Yes,Yes,FGFQ5FUJSN,0,1-3-64249.0
Katherine,Baker,433,Shannon Tunnel,Row,Jacobbury,15590.0,AR,white,61,13.403280063251373,817.6000838583337,Premium,Credit card,No,Both,No,Computer,23.99025534980995,109.18142906864786,6,Sci-Fi,1.5975753673072868,4,Female,21,No,No,Y2ZX4IYCO7,1,0-3-15590.0
Arturo,Partida,43261,Garcia Parks,Island,Christopherstad,79215.0,DE,white,28,5.559457215413932,155.6648020315901,Basic,Credit card,Yes,Both,Yes,Tablet,37.48078874481923,102.37452245806708,30,Drama,4.384976036487762,1,Male,1,Yes,No,R1107AOMFX,0,1-3-79215.0
Kristine,Kelly,198,Ryan Summit,Squares,Garrisonbury,29244.0,AL,white,112,15.56849855204949,1743.671837829543,Basic,Bank transfer,Yes,TV Shows,No,TV,9.597316092941014,102.25413928205111,37,Drama,1.0213272542068652,1,Male,5,Yes,No,L5NUHBPFI5,0,1-3-29244.0
Heidi,Stuart,9561,Peters Land,Drives,East Davidmouth,12386.0,OH,white,10,17.018075847290458,170.1807584729046,Basic,Electronic check,No,TV Shows,No,Tablet,16.271226069011178,100.72385803546123,38,Sci-Fi,4.26718052197373,8,Male,10,Yes,Yes,3KY1FJN5MZ,0,1-3-12386.0
Elizabeth,Guerra,7129,Mejia Point,Drive,Port Joannefurt,32243.0,NH,hispanic,88,18.659307431728163,1642.0190539920784,Premium,Credit card,Yes,Both,No,Computer,20.952026647683404,63.01286490019581,48,Action,2.0800535719631887,8,Female,2,No,Yes,5TG69ZFLBB,0,0-2-32243.0
Ashley,Blanchard,5260,Wheeler Lodge,Plains,Andersonland,97997.0,LA,white,79,13.087411779497542,1033.9055305803058,Premium,Bank transfer,No,Movies,No,Mobile,16.56012077030919,110.49251526137346,45,Sci-Fi,1.1810593282430697,0,Female,16,Yes,Yes,L3SHH9NGJM,0,0-3-97997.0
Dott.,Elisa,5444,Vaughan Points,Mission,New Brooke,81290.0,RI,white,18,11.638865896074018,209.4995861293324,Premium,Mailed check,Yes,TV Shows,No,TV,33.11852195035711,66.15941108571678,4,Sci-Fi,1.1260045956907665,1,Female,5,Yes,Yes,V98IM5RLA3,0,0-3-81290.0
Andrew,Parsons,85146,Wells Lake,Ville,Petersonchester,35186.0,HI,white,58,5.993425159892095,347.6186592737415,Standard,Mailed check,No,Both,Yes,TV,27.11919044444351,68.38826616577599,40,Action,1.5357965567005922,7,Male,18,Yes,Yes,BNCSXISML1,0,1-3-35186.0
Linda,Castro,941,Johnson Knolls,Hills,Judyview,32610.0,LA,hispanic,96,18.03680225390633,1731.5330163750082,Standard,Credit card,Yes,Movies,Yes,Mobile,8.511616674929979,113.82213589460716,38,Sci-Fi,3.1902802926420923,6,Female,11,Yes,No,GIYT5Y4P6D,0,0-2-32610.0
Shanaya,Kari,65169,Sarah Village,Common,North Mark,25358.0,NE,white,65,15.21135086857491,988.7378064573692,Basic,Mailed check,No,TV Shows,Yes,Mobile,33.52207992112164,51.41648220698512,14,Action,2.991760123548203,1,Male,19,Yes,No,VKJJONV978,0,1-3-25358.0
Antonio,Morales,6039,Hale Plains,Fords,Thomashaven,21223.0,KY,hispanic,81,14.248693185443328,1154.1441480209096,Premium,Mailed check,Yes,TV Shows,Yes,Tablet,31.89322970392072,161.4121509179068,15,Drama,4.366157166435929,2,Male,21,No,Yes,25SZX8ATYH,0,1-2-21223.0
Raymond,Scott,10715,Bauer Forges,Mountain,West Angelaberg,55502.0,TX,white,97,5.002192971694501,485.21271825436656,Basic,Electronic check,No,Movies,Yes,Computer,19.653038513591383,103.56936248407352,37,Drama,4.915007333534932,8,Male,1,Yes,No,UGYOYSUW34,0,1-3-55502.0
Jonathan,Aguirre,20195,Reese Harbor,Plains,Port Amberbury,80761.0,AL,hispanic,83,14.077068189491104,1168.3966597277615,Basic,Electronic check,No,Movies,No,Mobile,22.54227133466289,178.35062116212907,21,Sci-Fi,3.9881281402826336,3,Male,9,Yes,Yes,J8BADJIR6X,0,1-2-80761.0
Ms,Mary,5687,Rogers Views,Forks,North Veronicaburgh,76171.0,HI,white,108,9.697950093242728,1047.3786100702146,Premium,Bank transfer,No,TV Shows,Yes,Computer,35.545049382124766,152.39164844076282,4,Drama,1.1336011478038843,2,Female,24,No,Yes,MNY2QEZHEI,0,0-3-76171.0
Dr,Georgia,447,Miller Fall,Spurs,APO AA 68665,,,white,57,16.42573285162097,936.2667725423952,Basic,Credit card,No,Movies,Yes,TV,27.93883193168493,159.65639941099272,15,Sci-Fi,1.0178063037886775,4,Male,1,Yes,Yes,LTQWYDBRCB,0,1-3-nan
Giosuè,Nadi,70370,Jacob Lock,Trail,APO AP 35073,,,white,58,5.642678713916104,327.275365407134,Premium,Credit card,No,TV Shows,No,TV,22.340423503705644,81.93791199643222,49,Comedy,3.1650232170697663,6,Female,7,No,No,VH72N2LFKV,0,0-3-nan
Brad,Turner,32702,Santiago Locks,Squares,New Zoeport,99686.0,RI,white,77,15.684117285593612,1207.677030990708,Premium,Electronic check,No,Movies,No,Mobile,35.380431003943364,110.11922507669227,41,Action,2.508104755353485,9,Male,9,Yes,Yes,2E8722SNEK,0,1-3-99686.0
Thomas,Burke,30234,Tiffany Walk,Ramp,East Garyland,44287.0,AS,white,1,5.739292739331306,5.739292739331306,Basic,Bank transfer,No,Movies,No,Computer,23.08867155327516,45.37501739284674,35,Sci-Fi,4.345536646646004,8,Female,5,No,No,AGL5YF2TSJ,1,0-3-44287.0
Joseph,Walker,63861,Burton Road,Ridges,North Darrellborough,43653.0,VI,white,86,17.369986014527857,1493.8187972493956,Basic,Mailed check,Yes,Both,No,Computer,35.4062462754358,7.06804630688694,46,Sci-Fi,4.49838787885421,5,Female,11,Yes,No,3VI2NQ70VY,0,0-3-43653.0
Lisa,Chavez,14349,Tony Pike,Trace,Kellyhaven,50463.0,WY,hispanic,55,8.045250451826092,442.4887748504351,Standard,Credit card,No,Movies,No,Mobile,29.022363981028803,178.24492518553814,29,Action,1.3567745805607077,5,Male,17,No,No,0V6U1DCUED,0,1-2-50463.0
Angela,Duncan,219,Anthony Inlet,Unions,West Williestad,53677.0,FL,white,87,5.988933150571922,521.0371840997573,Standard,Mailed check,No,TV Shows,No,Tablet,1.966436360017535,157.6221208941144,34,Sci-Fi,3.7685537376962697,7,Male,11,No,No,UNUMACLNB3,0,1-3-53677.0
Christine,Hennigan,837,Linda Lock,Parks,Toniside,64547.0,NM,white,115,18.43102685235948,2119.5680880213404,Basic,Mailed check,Yes,Movies,No,TV,20.826556392895164,72.57764547970412,15,Drama,3.6500886906323577,4,Male,3,Yes,Yes,GYJ5KZYCA3,0,1-3-64547.0
Timothy,Bennett,7147,Jennifer Parks,Course,Suttonview,91844.0,AR,white,2,8.63802747684219,17.27605495368438,Premium,Mailed check,Yes,Both,Yes,Computer,30.286104710268603,32.37536031029613,1,Action,3.385662287002034,8,Female,0,No,No,GTE6BAMQ7L,1,0-3-91844.0
