FirstName,LastName,BuildingNumber,StreetName,StreetType,City,Postcode,State,Ethnicity,AccountAge,MonthlyCharges,TotalCharges,SubscriptionType,PaymentMethod,PaperlessBilling,ContentType,MultiDeviceAccess,DeviceRegistered,ViewingHoursPerWeek,AverageViewingDuration,ContentDownloadsPerMonth,GenrePreference,UserRating,SupportTicketsPerMonth,Gender,WatchlistSize,ParentalControl,SubtitlesEnabled,CustomerID,Churn,Cohort
Aurora,Bravo,88588,Wanda Mission,Underpass,Sandyhaven,46890.0,NY,hispanic,20,11.055215098286784,221.1043019657357,Premium,Mailed check,No,Both,No,Mobile,36.75810391025656,63.53137733399087,10,Sci-Fi,2.176497514538461,4,Male,3,No,No,CB6SXPNVZA,0,1-2-46890.0
Ana,María,69,Laura Gateway,Drive,DPO AA 59306,,,white,57,5.1752084605118185,294.9868822491737,Basic,Credit card,Yes,Movies,No,Tablet,32.450567831131046,25.725594639013025,18,Action,3.478632294057515,8,Male,23,No,Yes,S7R2G87O09,0,1-3-nan
Susan,Lambert,81311,Hunter Fort,Cove,South Sarahshire,12793.0,HI,white,73,12.106656871383258,883.7859516109778,Basic,Mailed check,Yes,Movies,No,Computer,7.3951601087942,57.36406085422372,23,Fantasy,4.23882362326149,6,Male,1,Yes,Yes,EASDC20BDT,0,1-3-12793.0
David,Martinez,115,Whitney Drive,Valley,Danielside,56037.0,WV,hispanic,32,7.263742940677236,232.4397741016716,Basic,Electronic check,No,TV Shows,No,Tablet,27.96038869388153,131.5375073033797,30,Drama,4.276012901811724,2,Male,24,Yes,Yes,NPF69NT69N,0,1-2-56037.0
Miss,Lydia,674,Stuart Ford,Trace,Johnsonland,99324.0,RI,white,57,16.953077584672634,966.32542232634,Premium,Electronic check,Yes,TV Shows,No,TV,20.083397365536275,45.35665300228703,20,Comedy,3.616170325945041,4,Female,0,No,No,4LGYPK7VOL,0,0-3-99324.0
Miss,Aoibheann,3551,Ellis Expressway,Parks,Donaldberg,35711.0,IN,white,113,7.29574408203813,824.4190812703087,Premium,Mailed check,Yes,Both,No,Mobile,21.678290165014136,97.09574606632208,35,Comedy,3.7211339073349374,8,Female,2,Yes,Yes,JY5HS0GWHW,0,0-3-35711.0
Gary,Jones,33905,Wong Ridge,Circle,Perezton,62602.0,MO,white,38,12.340674706065464,468.9456388304876,Premium,Bank transfer,No,Both,No,Computer,36.51276087932416,81.78299272749686,28,Action,4.090868431680233,9,Female,20,No,Yes,79XSO6P5O3,0,0-3-62602.0
Angelica,Taylor,281,Courtney Fords,Extensions,Justinfort,30529.0,KY,white,25,7.247550128985998,181.18875322465,Standard,Electronic check,Yes,TV Shows,No,TV,16.355816325840962,154.52168212679436,10,Fantasy,3.410221061849868,2,Female,22,No,No,2LDC9AQ3C5,0,0-3-30529.0
Rachael,Contreras,4125,Walker Ridges,Shoal,East Vickieton,70409.0,MD,hispanic,26,19.803232710190944,514.8840504649645,Standard,Bank transfer,No,Movies,No,Tablet,8.202929077625196,94.37521106299708,28,Fantasy,2.679986484363853,0,Male,5,Yes,Yes,74DURHL3Y8,1,1-2-70409.0
Michael,Mcmahon,470,Gallagher Spur,Court,North Bradley,83499.0,NE,white,14,18.842934261148443,263.8010796560782,Standard,Bank transfer,No,Movies,No,Computer,38.56069422734088,122.01289023072172,0,Comedy,2.9934406191616114,0,Male,18,No,No,CY8S2R3A1T,0,1-3-83499.0
