FirstName,LastName,BuildingNumber,StreetName,StreetType,City,Postcode,State,Ethnicity,AccountAge,MonthlyCharges,TotalCharges,SubscriptionType,PaymentMethod,PaperlessBilling,ContentType,MultiDeviceAccess,DeviceRegistered,ViewingHoursPerWeek,AverageViewingDuration,ContentDownloadsPerMonth,GenrePreference,UserRating,SupportTicketsPerMonth,Gender,WatchlistSize,ParentalControl,SubtitlesEnabled,CustomerID,Churn,Cohort
Carolyn,Barnes,624,Joann Ridge,Hills,South Michelleton,75244.0,MD,white,49,19.56534689372116,958.7019977923368,Basic,Bank transfer,Yes,Both,Yes,Tablet,4.109207053452833,95.15788103204665,16,Drama,2.156288386058865,1,Male,6,Yes,No,ZZK5TMZGUK,0,1-3-75244.0
Lisa,Garcia,790,Joshua Unions,Walks,Lake Lauren,63949.0,CO,hispanic,17,7.679230809747882,130.54692376571398,Basic,Bank transfer,Yes,Both,No,Tablet,7.526277696545957,72.89915038705028,27,Fantasy,2.87436498854461,9,Male,4,No,No,YMHIEO2K54,0,1-2-63949.0
Hugh,Harrison,254,Alex Harbor,Fort,Gordonland,52236.0,FM,white,117,9.188845002019146,1075.09486523624,Premium,Credit card,No,Both,No,Mobile,19.89609537340373,19.00946219993618,24,Comedy,2.300348245597227,5,Female,5,No,Yes,5PGIGKGLAJ,0,0-3-52236.0
Rebecca,Edwards,14851,Rodriguez Dale,Village,East Nicholas,8980.0,WI,white,95,18.622307974644805,1769.1192575912564,Standard,Bank transfer,No,Both,Yes,Computer,11.909295755054018,118.30760009975435,36,Action,3.49141042314356,8,Male,24,Yes,No,D5GO9V5SZT,0,1-3-8980.0
Tricia,Salazar,321,Brown Valleys,Squares,South Sarahmouth,66421.0,MN,hispanic,14,6.752652879128574,94.53714030780004,Standard,Credit card,Yes,Movies,No,Mobile,35.19451004991654,5.729453874045241,2,Comedy,3.5921294397508543,9,Male,5,Yes,No,DVH3VTVHY1,1,1-2-66421.0
Lorena,Naranjo,108,Joseph Viaduct,Streets,APO AP 61335,,,hispanic,53,18.038773055516785,956.0549719423896,Basic,Mailed check,Yes,TV Shows,No,Mobile,30.341763904860912,170.34845079154877,22,Comedy,3.5255869237709976,4,Male,16,Yes,Yes,KKLYW2J1C8,0,1-2-nan
Michael,Sutton,59358,Rivera Mountains,Mount,Kimberlyview,15224.0,AZ,white,38,12.79009132077697,486.02347018952486,Standard,Bank transfer,No,Movies,Yes,Computer,7.4478400312225315,134.98177300065387,49,Sci-Fi,3.6044001893733713,7,Male,16,Yes,Yes,HGQAP6GZAI,0,1-3-15224.0
Gabrielle,Peck,9685,Johnston Terrace,Summit,North Helenberg,28601.0,CT,white,37,11.993572482915951,443.7621818678902,Basic,Electronic check,Yes,Movies,Yes,Tablet,23.346937273664885,8.527333826292855,19,Fantasy,1.7386710972053905,0,Female,16,No,No,99QDCE7XHD,0,0-3-28601.0
Robert,Cunningham,53079,Mccoy Roads,Roads,Cherylfurt,12337.0,FL,white,112,18.85743306443348,2112.0325032165497,Basic,Credit card,No,Both,No,TV,39.42383202275114,110.39184603502471,14,Fantasy,3.0884018272495712,7,Female,20,Yes,No,IBBLEB22WE,0,0-3-12337.0
Frederick,Lane,730,Vincent Glens,Place,North Sharon,48396.0,OR,white,81,19.30015123241336,1563.312249825482,Basic,Bank transfer,No,Movies,No,TV,11.418683319452358,35.088177325787086,39,Action,4.664629806872699,7,Male,18,No,Yes,NPEB8ISI9J,1,1-3-48396.0
